Wavelength (Angstroms), Normalized intensity, Element
698.18505, 1.6734292, 
698.22993, 1.6640771, 
698.27481, 1.7131041, 
698.31969, 1.5060554, 
698.36456, 1.5320402, 
698.40944, 1.6394000, 
698.45432, 1.7437679, 
698.49920, 1.6464317, 
698.54408, 1.7124024, 
698.58896, 1.8538755, 
698.63384, 2.2688774, 
698.67871, 2.7226890, 
698.72359, 2.8528023, S III
698.76847, 2.6364786, 
698.81335, 2.1130738, 
698.85823, 1.8713294, 
698.90311, 1.7072336, 
698.94799, 1.7518829, 
698.99287, 1.7130959, 
699.03775, 1.5871449, 
699.08263, 1.6082919, 
699.12751, 1.6865374, 
699.17239, 1.5495571, 
699.21727, 1.5784733, 
699.27260, 1.7340953, 
699.31742, 1.7059078, 
699.36225, 1.7786849, 
699.40707, 1.7655352, 
699.45190, 1.6113332, 
699.49672, 1.7190253, 
699.54155, 1.6729715, 
699.58637, 1.6847268, 
699.63120, 1.7303800, 
699.67602, 1.7104263, 
699.72085, 1.7274295, 
699.76567, 1.6074132, 
699.81050, 1.8159958, 
699.85532, 1.8758017, 
699.90015, 1.9475504, 
699.94497, 1.9694139, 
699.98980, 2.0843328, 
700.01463, 2.6326299, 
700.05945, 3.9831454, 
700.10428, 6.0434463, S III
700.14910, 9.5016478, 
700.19393, 12.763859, 
700.23876, 13.798595, Ar VIII
700.28358, 12.203269, S III
700.32841, 8.6824990, 
700.37324, 4.9628359, 
700.41806, 2.9406117, 
700.46289, 1.9670743, 
700.50772, 1.8043551, 
700.55254, 1.8078206, 
700.59737, 1.7397222, 
700.64220, 1.9123356, 
700.68703, 1.7671477, 
700.73185, 1.7928968, 
700.77668, 1.8135566, 
700.82151, 1.7929706, 
700.86634, 1.8009725, 
700.91117, 1.8811268, 
700.95599, 1.8406216, 
701.00082, 1.6636199, 
701.04565, 1.7054250, 
701.09048, 1.7305673, 
701.13531, 1.8498618, 
701.18013, 1.9091568, 
701.22496, 1.7318815, 
701.26979, 1.7884971, 
701.31462, 1.9829543, 
701.35945, 1.8618966, 
701.40428, 1.7539063, 
701.44911, 1.5875913, 
701.49394, 1.6802088, 
701.53877, 1.7939972, 
701.58360, 1.7272259, 
701.62842, 1.6749808, 
701.67325, 1.7768015, 
701.71808, 1.7525157, 
701.76291, 1.7910029, 
701.80774, 1.9552352, 
701.85257, 1.8249357, 
701.89740, 2.0136208, 
701.94223, 2.0964864, 
701.98706, 2.1807942, 
702.03189, 2.5892347, 
702.07672, 3.1493603, 
702.12155, 4.2548898, 
702.16639, 6.6482877, 
702.21122, 12.403066, 
702.25605, 21.494409, 
702.30088, 31.443881, 
702.34571, 35.394740, O III
702.39054, 29.494745, 
702.43537, 18.295086, 
702.48020, 9.6410246, 
702.52503, 5.3868916, 
702.56987, 4.3021968, 
702.61470, 5.5629942, 
702.65953, 9.5803578, 
702.70436, 18.860452, 
702.74919, 37.236569, 
702.79402, 62.104528, 
702.83886, 84.752059, O III
702.88369, 92.975126, O III
702.92852, 82.191040, 
702.97335, 57.124991, 
703.01819, 31.287689, 
703.06302, 14.440525, 
703.10785, 6.6546234, 
703.15268, 3.6650487, 
703.19752, 2.6216455, 
703.24235, 2.3902491, 
703.28718, 2.1126165, 
703.33202, 2.2252701, 
703.37685, 2.1776289, 
703.42168, 2.2782140, 
703.46652, 2.2669351, 
703.51135, 2.7593765, 
703.55618, 3.6456917, 
703.60102, 5.7449734, 
703.64585, 10.327673, 
703.69068, 20.819912, 
703.73552, 44.624912, 
703.78035, 83.785420, 
703.82519, 129.73308, 
703.87002, 154.70249, O III
703.91486, 139.76092, 
703.95969, 94.736076, 
704.00452, 48.795042, 
704.04936, 22.471843, 
704.09419, 10.194973, 
704.13903, 5.4077635, 
704.18386, 3.2502899, 
704.22870, 2.5611766, 
704.27353, 2.1863214, 
704.31837, 2.0975631, 
704.36320, 2.1072993, 
704.40804, 1.9630930, 
704.45288, 1.9368994, 
704.49771, 2.0677295, 
704.54255, 2.0176813, 
704.58738, 2.0857117, 
704.63222, 1.9605109, 
704.67705, 2.1031694, 
704.72189, 2.0390456, 
704.76673, 1.9862398, 
704.81156, 2.0570503, 
704.85640, 1.9116252, 
704.90124, 1.8234462, 
704.94607, 1.9918589, 
704.99091, 1.9847168, 
705.03575, 1.9601603, 
705.08058, 1.8948299, 
705.12542, 1.9337097, 
705.17026, 1.7957866, 
705.21509, 1.9720601, 
705.25993, 2.0914215, 
705.30477, 2.0685491, 
705.34961, 1.9892309, 
705.39444, 2.0503105, 
705.43928, 1.9763501, 
705.48412, 1.9763652, 
705.52896, 2.0551329, 
705.57380, 2.0307153, 
705.61863, 2.0701532, 
705.66347, 2.0549675, 
705.70831, 2.5105758, 
705.75315, 2.6676179, 
705.79799, 3.4142013, 
705.84283, 5.5765026, 
705.88766, 9.2552869, 
705.93250, 16.137302, 
705.97734, 23.630744, 
706.02218, 27.962776, Mg IX
706.06702, 27.321205, 
706.11186, 20.011081, 
706.15670, 11.361736, 
706.20154, 6.3236324, 
706.24638, 3.6669812, 
706.29122, 2.6737647, 
706.33606, 2.4948159, 
706.38090, 2.7752240, 
706.42574, 3.2552041, 
706.47058, 3.7243899, 
706.51542, 3.5484936, S VI
706.56026, 3.0820136, 
706.60510, 2.5754070, 
706.64994, 2.3509555, 
706.69478, 2.0224037, 
706.73962, 1.9076307, 
706.78446, 1.8972769, 
706.82930, 1.8591156, 
706.87414, 1.9444017, 
706.91898, 1.9215217, 
706.96382, 1.8851857, 
707.00866, 1.8173523, 
707.05350, 1.7352040, 
707.09835, 1.9605887, 
707.14319, 1.9603835, 
707.18803, 1.9516179, 
707.23287, 2.0333042, 
707.27771, 2.2034369, 
707.32255, 2.2175236, 
707.36740, 2.2595652, 
707.41224, 2.2362878, 
707.45708, 2.0857308, 
707.50192, 1.9379019, 
707.54676, 2.0047907, 
707.59161, 2.0426520, 
707.63645, 1.9500435, 
707.68129, 1.9742123, 
707.72613, 1.9284993, 
707.77098, 1.8690298, 
707.81582, 1.9887863, 
707.86066, 1.8421603, 
707.90551, 1.8832269, 
707.95035, 1.9381225, 
707.99519, 1.8964958, 
708.04004, 1.9277588, 
708.08488, 1.8841488, 
708.12972, 1.9778687, 
708.17457, 1.8920260, 
708.21941, 2.0266788, 
708.26425, 1.9609271, 
708.30910, 1.9466012, 
708.35394, 1.9419050, 
708.39879, 1.9953139, 
708.44363, 2.1630211, 
708.48847, 2.0129489, 
708.53332, 2.0482343, 
708.57816, 2.0291177, 
708.62301, 1.8625587, 
708.66785, 1.9420966, 
708.71270, 1.8874810, 
708.75754, 1.9623480, 
708.80239, 2.0125932, 
708.84723, 1.9967494, 
708.89208, 2.0717864, 
708.93692, 2.0863308, 
708.98177, 2.0455664, 
709.02661, 2.1764043, 
709.07146, 2.0117689, 
709.11630, 2.1559329, 
709.16115, 2.1709075, 
709.20600, 2.1949534, Ar V
709.25084, 2.0671312, 
709.29569, 1.9946624, 
709.34053, 1.9865041, 
709.38538, 1.8773432, 
709.43023, 1.8815233, 
709.47507, 1.9640963, 
709.51992, 2.0267881, 
709.56477, 1.9735520, 
709.60961, 1.8452730, 
709.65446, 1.8036111, 
709.69931, 1.9524949, 
709.74415, 2.0160239, 
709.78900, 2.0399441, 
709.83385, 2.0764799, 
709.87870, 1.9685823, 
709.92354, 1.9784139, 
709.96839, 2.0705765, 
710.03431, 1.9780583, 
710.07910, 1.9412043, 
710.12390, 2.0653087, 
710.16869, 1.8715878, 
710.21348, 1.9586315, 
710.25827, 1.8973088, 
710.30306, 1.9851154, 
710.34785, 1.8636370, 
710.39265, 1.9386070, 
710.43744, 1.9163528, 
710.48223, 1.8834688, 
710.52702, 1.9447379, 
710.57182, 2.1163584, 
710.61661, 2.0621973, 
710.66140, 2.1880064, 
710.70619, 2.4622493, 
710.75099, 2.5897133, 
710.79578, 3.2482929, 
710.84057, 4.4937045, 
710.88537, 5.8589350, 
710.93016, 6.4771165, S III
710.97495, 5.4763394, 
711.01975, 4.1037061, 
711.06454, 2.9702436, 
711.10933, 2.3091014, 
711.15413, 2.0534115, 
711.19892, 2.1954710, 
711.24371, 2.1000141, 
711.28851, 2.0216188, 
711.33330, 2.0953659, 
711.37810, 2.1020384, 
711.42289, 1.8895689, 
711.46768, 2.1328510, 
711.51248, 2.2200598, 
711.55727, 2.1161544, 
711.60207, 2.0911857, 
711.64686, 2.1514560, 
711.69166, 2.0375124, 
711.73645, 2.0752790, 
711.78125, 2.1161654, 
711.82604, 2.0173370, 
711.87084, 2.0143020, 
711.91563, 2.0434294, 
711.96043, 2.0499144, 
712.00522, 1.9811829, 
712.05002, 2.1563582, 
712.09482, 2.1422314, 
712.13961, 2.1439113, 
712.18441, 1.9937705, 
712.22920, 2.1361394, 
712.27400, 2.0688485, 
712.31880, 2.0093696, 
712.36359, 2.0621686, 
712.40839, 2.1177836, 
712.45319, 2.3193640, 
712.49798, 2.6270254, 
712.54278, 3.3060893, 
712.58758, 4.1112629, 
712.63237, 4.8130914, 
712.67717, 5.1442448, S VI
712.72197, 4.2795057, 
712.76676, 3.3459254, 
712.81156, 2.8024169, 
712.85636, 2.5099111, 
712.90116, 2.3613283, 
712.94595, 2.0359357, 
712.99075, 1.8595099, 
713.03555, 1.7959568, 
713.08035, 2.0598667, 
713.12515, 2.0363486, 
713.16994, 1.9747377, 
713.21474, 2.1256262, 
713.25954, 2.1447254, 
713.30434, 2.1246722, 
713.34914, 2.0080174, 
713.39394, 2.2650027, 
713.43874, 2.1864188, 
713.48353, 2.2043043, 
713.52833, 2.2905680, 
713.57313, 2.2521191, 
713.61793, 2.9407841, 
713.66273, 3.4655553, 
713.70753, 5.1334010, 
713.75233, 6.5227377, 
713.79713, 6.9061191, Ar VIII
713.84193, 6.0339753, 
713.88673, 4.4535635, 
713.93153, 3.1541498, 
713.97633, 2.4918255, 
714.02113, 2.2437586, 
714.06593, 2.1603616, 
714.11073, 2.1871000, 
714.15553, 1.9923883, 
714.20033, 2.0984294, 
714.24513, 2.2933642, 
714.28993, 2.0822453, 
714.33473, 2.0891717, 
714.37953, 1.9660160, 
714.42433, 2.0115171, 
714.46913, 1.9571518, 
714.51394, 2.0127234, 
714.55874, 2.0527891, 
714.60354, 2.0894920, 
714.64834, 2.2343130, 
714.69314, 2.2051582, 
714.73794, 2.4278782, 
714.78274, 2.3860467, 
714.82755, 2.1995080, 
714.87235, 2.2505951, 
